ID,Candidate,Gender,idBank,idPassion,idInstitution
758,Livia Knight,F,2,7,2
759,Ivette Vallory,F,4,14,6
760,Abdul Cassidy,M,2,5,7
761,Jenna Thompson,F,9,2,2
762,Tara Thomas,F,1,4,3
763,Danny Watson,M,3,15,6
764,Bart Wright,M,6,2,3
765,Lexi Griffiths,F,5,14,8
766,Doug Murphy,M,4,1,9
767,Sebastian Harris,M,1,11,5
768,Enoch Ralph,M,7,13,1
769,Alessia Nurton,F,9,8,4
770,Chuck Griffiths,M,9,7,10
771,Emerald Judd,F,4,6,4
772,Scarlett Healy,F,8,15,8
773,Nicholas Jarvis,M,9,6,7
774,Christine Webster,F,10,15,3
775,Miley Middleton,F,4,8,5
776,Kurt Hale,M,5,12,10
777,Harmony Overson,F,1,6,9
778,Jayden Hunt,M,3,12,1
779,Mark Ingham,M,11,2,6
780,Alice Richardson,F,7,7,2
781,Roger Benfield,M,4,7,9
782,Phillip Bullock,M,6,14,9
783,Kate Clarke,F,5,2,9
784,Mavis Nanton,F,9,4,2
785,Jacob Reid,M,9,13,8
786,Christy Boden,F,5,15,1
787,John Rossi,M,1,6,9
788,Sebastian Blythe,M,4,7,4
789,Isabel Weldon,F,10,12,5
790,Blake Matthews,F,9,3,9
791,Rae Flanders,F,10,3,10
792,Cadence Neal,F,2,5,5
793,Rufus Wren,M,2,2,10
794,Clint Simpson,M,2,6,5
795,Alexander Stone,M,10,2,4
796,Teagan Davies,F,2,12,10
797,Maddison Giles,F,2,1,8
798,Mayleen Russel,F,5,10,1
799,Anthony Reynolds,M,10,8,10
800,Holly Richards,F,4,4,2
801,Janice Smith,F,3,9,5
802,Tyler Gallacher,M,1,13,6
803,Luke Glass,M,5,10,6
804,Naomi Carter,F,4,1,10
805,Gil Pierce,M,8,10,1
806,Gwenyth Bayliss,F,4,6,9
807,Denny Gilmour,M,5,13,7
808,Summer Ulyatt,F,8,6,1
809,Deborah Campbell,F,9,8,8
810,Julian Eagle,M,10,4,7
811,Paige Haines,F,1,1,7
812,Kate Collis,F,6,12,10
813,Elijah Darcy,M,6,1,9
814,Destiny Briggs,F,2,3,3
815,Emmanuelle Keys,F,1,1,8
816,Javier Wood,M,3,8,2
817,Kirsten Egerton,F,5,4,1
818,Cristal Coates,F,2,9,8
819,Benny Duvall,M,10,7,9
820,Irene Adler,F,7,15,7
821,Harvey Mason,M,10,12,4
822,Jayden Skinner,M,9,15,8
823,Gil Shelton,M,3,9,8
824,Carrie Gibson,F,4,6,3
825,Camden Knight,F,6,11,2
826,Barney Hobson,M,1,2,8
827,Hailey Hill,F,11,8,3
828,Goldie Cox,F,8,11,2
829,Mike Shields,M,5,12,7
830,Bryce Widdows,F,9,15,8
831,Ethan Andersson,M,3,2,5
832,Valentina Nurton,F,2,1,8
833,Charlize Mould,F,9,9,9
834,Tyson Seymour,M,3,3,8
835,Nathan Hewitt,M,1,5,10
836,Harvey Logan,M,10,12,2
837,Nathan Murray,M,11,11,6
838,Deborah Norman,F,8,8,9
839,Alma Blackwall,F,4,2,7
840,Chuck Mills,M,7,14,4
841,Mayleen Nelson,F,1,13,6
842,Remy Fisher,F,1,15,5
843,Violet Harrington,F,5,13,7
844,Carla Rogers,F,9,10,4
845,Bart Warner,M,5,3,5
846,Julius Dillon,M,11,2,7
847,Lindsay Yoman,F,10,3,5
848,Laila Tobin,F,9,4,3
849,Carter Stone,M,10,11,9
850,Sharon Spencer,F,11,9,3
851,Mason Hopkinson,M,7,1,7
852,Sebastian Alcroft,M,5,10,1
853,Tyler Hepburn,M,9,3,5
854,Cynthia Jones,F,10,2,10
855,Mason Smith,M,2,4,3
856,Josh Boyle,M,2,2,5
857,Norah Cox,F,1,14,10
858,Clint Mills,M,8,10,2
859,Rosie Wright,F,1,6,4
860,Mason Lee,M,5,4,5
861,John Coates,M,5,1,4
862,Evie Palmer,F,6,9,6
863,Ramon Barrett,M,4,8,6
864,Harry Ashley,M,11,14,4
865,David Stewart,M,3,11,3
866,Ember Mccormick,F,4,4,8
867,Mike Eyres,M,1,8,2
868,Cherish Gregory,F,1,5,10
869,Karen Mcnally,F,6,1,7
870,Elena Dickson,F,10,11,3
871,Oliver James,M,7,3,1
872,Melinda Stone ,F,6,15,2
873,Quinn Radcliffe,F,6,12,6
874,Bryon Blythe,M,5,4,9
875,Danny Morley,M,3,8,7
876,Caleb Aldridge,M,5,15,10
877,Skylar Thatcher,F,5,14,2
878,Dani Connor,F,2,4,10
879,Jack Rust,M,9,11,8
880,Matt Faulkner,M,7,5,2
881,Maxwell Villiger,M,10,10,7
882,Brad Grant,M,7,12,7
883,Mary Bayliss,F,7,6,1
884,Vivian Holmes,F,9,10,9
885,Doug Ellery,M,10,9,8
886,Johnny Dyson,M,4,12,7
887,Lynn Matthews,F,2,3,5
888,Hank Skinner,M,1,2,9
889,Chris Briggs,M,9,2,7
890,Liam Thatcher,M,7,15,1
891,Domenic Button,M,6,11,3
892,Elena Curtis,F,11,13,2
893,Denis Boden,M,3,8,6
894,Javier Wheeler,M,9,9,10
895,Daniel Jones,M,6,2,4
896,Harry Todd,M,8,10,3
897,Logan Boyle,F,1,14,6
898,Miriam Stubbs,F,7,5,2
899,Nicholas Sheldon,M,10,9,2
900,Doug Richards,M,7,4,3
901,Enoch Addison,M,6,11,6
902,Jamie Mould,F,6,4,8
903,Faith Nurton,F,5,15,6
904,Renee Brown,F,4,8,8
905,Melinda Crawley,F,3,8,7
906,Tyson Broomfield,M,7,1,10
907,Rosalee Stuart,F,4,4,3
908,Nate Clayton,M,6,3,3
909,Valentina Quinn,F,7,4,6
910,Selena Eaton,F,1,14,2
911,Camden Bennett,F,4,10,2
912,Ramon Reynolds,M,7,12,5
913,Erin Hood,F,9,7,9
914,Kassandra Denton,F,8,4,10
915,Eduardo Benson,M,9,8,6
916,Johnathan Rogers,M,6,8,9
917,Gil Drake,M,11,12,10
918,Martin Morgan,M,10,7,9
919,Hayden Poulton,M,5,15,1
920,Sebastian Carpenter,M,4,5,4
921,Dani Drummond,F,5,1,1
922,Sebastian Yarlett,M,7,1,4
923,Jack Wright,M,4,6,2
924,Lucas Yarlett,M,3,3,4
925,Chuck Hood,M,2,7,9
926,Nick Gordon,M,1,4,1
927,Marvin Jackson,M,8,12,7
928,Matt Russell,M,1,8,10
929,Henry Umney,M,8,13,9
930,Bridget Tyrrell,F,7,3,3
931,Johnathan Wright,M,10,14,1
932,Sabina Rothwell,F,11,14,4
933,Adalind Poole,F,5,7,2
934,Evie Reid,F,7,11,5
935,Joseph Brown,M,6,5,10
936,Nicholas Craig,M,11,15,9
937,Cameron Michael,F,3,15,5
938,Peter Mcnally,M,8,11,6
939,Francesca Fox,F,4,7,1
940,Daniel Thatcher,M,10,12,9
941,Wade Page ,M,11,5,9
942,Drew Morrison,F,3,9,8
943,Wade Uttridge,M,11,14,8
944,Owen Archer,M,6,4,8
945,Wade Gordon,M,2,10,10
946,Noah Matthews,M,6,6,1
947,Trisha Silva,F,6,2,5
948,Peyton Stevenson,F,1,8,4
949,Johnny Amstead,M,2,11,1
950,Elena Thomson,F,5,14,4
951,Holly Neville,F,2,6,1
952,Enoch Rehman,M,5,5,3
953,Meredith Rowlands,F,11,5,9
954,Barry Collins,M,5,9,4
955,Carmen Reynolds,F,6,14,5
956,Camila Carson,F,8,5,6
957,Amy Ellwood,F,6,13,6
958,Enoch Bishop,M,10,4,7
959,Eve Drake,F,1,13,6
960,Caleb Malone,M,10,15,9
961,Rihanna London,F,9,2,4
962,George Dunbar,M,1,3,10
963,Mark Vinton,M,3,15,7
964,Shelby Todd,F,10,1,8
965,Celia Varley,F,8,1,6
966,Carter James,M,11,10,8
967,Rocco Rosenbloom,M,6,10,3
968,Daria Ianson,F,3,6,5
969,Rae Gonzales,F,7,6,8
970,Carla Smith,F,10,14,3
971,Phillip Potter,M,3,11,2
972,Kirsten Evans,F,11,13,4
973,Nathan Irwin,M,9,13,8
974,Judith Murray,F,6,1,9
975,Domenic Clark,M,2,6,10
976,Chad Gibbons,M,5,6,2
977,Kieth Benfield,M,4,12,3
978,Nina Robinson,F,9,7,4
979,Jules Bradley,F,8,7,7
980,Chuck Hopkinson,M,5,12,4
981,Jade Cadman,F,5,15,9
982,Emery Silva,F,6,15,10
983,Alexa Faulkner,F,9,7,7
984,Alessandra Jones,F,9,10,1
985,Anabel Tailor,F,9,6,5
986,Maggie Noon,F,11,4,3
987,Jack Niles,M,11,6,2
988,Keira York,F,5,14,1
989,Lauren London,F,1,3,10
990,Gabriel Stanley,M,4,11,6
991,Maia Paterson,F,2,7,1
992,Hayden Grady,F,1,5,1
993,Boris Donovan,M,4,2,7
994,Cameron Hill,F,3,12,2
995,Jack Morrison,M,5,6,6
996,Boris Gilmore,M,10,6,10
997,Bart Owen,M,4,11,5
998,Jack Lloyd,M,2,5,4
999,Leroy Lloyd,M,4,6,2
1000,Agnes Wigley,F,1,5,5
