,idU,Candidates,Gender
969,970,Carla Smith,F
970,971,Phillip Potter,M
971,972,Kirsten Evans,F
972,973,Nathan Irwin,M
973,974,Judith Murray,F
974,975,Domenic Clark,M
975,976,Chad Gibbons,M
976,977,Kieth Benfield,M
977,978,Nina Robinson,F
978,979,Jules Bradley,F
979,980,Chuck Hopkinson,M
980,981,Jade Cadman,F
981,982,Emery Silva,F
982,983,Alexa Faulkner,F
983,984,Alessandra Jones,F
984,985,Anabel Tailor,F
985,986,Maggie Noon,F
986,987,Jack Niles,M
987,988,Keira York,F
988,989,Lauren London,F
989,990,Gabriel Stanley,M
990,991,Maia Paterson,F
991,992,Hayden Grady,F
992,993,Boris Donovan,M
993,994,Cameron Hill,F
994,995,Jack Morrison,M
995,996,Boris Gilmore,M
996,997,Bart Owen,M
997,998,Jack Lloyd,M
998,999,Leroy Lloyd,M
999,1000,Agnes Wigley,F
